occurrence_no,collection_no,accepted_name,early_interval,late_interval,max_ma,min_ma,lng,lat,time_bins
747720,80048,Mulinia lateralis,Late Pleistocene,,0.129,0.0117,283.99472,36.737778,Late Pleistocene
747722,80048,Nucula (Nucula) proxima,Late Pleistocene,,0.129,0.0117,283.99472,36.737778,Late Pleistocene
747724,80048,Macoma (Macoma) calcarea,Late Pleistocene,,0.129,0.0117,283.99472,36.737778,Late Pleistocene
747726,80049,Astarte montagui,Late Pleistocene,,0.129,0.0117,290.034721,43.914444,Late Pleistocene
747728,80049,Hiatella arctica,Late Pleistocene,,0.129,0.0117,290.034721,43.914444,Late Pleistocene
747748,80046,Plicatula gibbosa,Middle Pleistocene,,0.774,0.129,279.332497,26.683611,Chibanian
747786,80052,Astarte montagui,Late Pleistocene,,0.129,0.0117,291.125832,44.128056,Late Pleistocene
747788,80052,Mya (Arenomya) arenaria,Late Pleistocene,,0.129,0.0117,291.125832,44.128056,Late Pleistocene
747789,80052,Mytilus edulis,Late Pleistocene,,0.129,0.0117,291.125832,44.128056,Late Pleistocene
747791,80052,Hiatella arctica,Late Pleistocene,,0.129,0.0117,291.125832,44.128056,Late Pleistocene
747792,80052,Mya (Mya) truncata,Late Pleistocene,,0.129,0.0117,291.125832,44.128056,Late Pleistocene
747800,80046,Mulinia lateralis,Middle Pleistocene,,0.774,0.129,279.332497,26.683611,Chibanian
747813,80046,Crassinella lunulata,Middle Pleistocene,,0.774,0.129,279.332497,26.683611,Chibanian
747814,80046,Abra aequalis,Middle Pleistocene,,0.774,0.129,279.332497,26.683611,Chibanian
748124,69034,Crassostrea virginica,Late Pleistocene,,0.129,0.0117,278.633331,26.799999,Late Pleistocene
748125,69034,Chione cancellata,Late Pleistocene,,0.129,0.0117,278.633331,26.799999,Late Pleistocene
748126,69034,Anomia simplex,Late Pleistocene,,0.129,0.0117,278.633331,26.799999,Late Pleistocene
748138,69034,Anadara (Larkinia) transversa,Late Pleistocene,,0.129,0.0117,278.633331,26.799999,Late Pleistocene
748148,69034,Abra aequalis,Late Pleistocene,,0.129,0.0117,278.633331,26.799999,Late Pleistocene
748175,80040,Mulinia lateralis,Late Pliocene,,3.6,2.58,283.044724,37.232224,Pliocene
748188,80040,Plicatula gibbosa,Late Pliocene,,3.6,2.58,283.044724,37.232224,Pliocene
748212,80034,Mulinia lateralis,Early Pleistocene,,2.58,0.774,281.614166,33.973331,Calabrian
748215,80034,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,281.614166,33.973331,Calabrian
748221,80034,Crassostrea virginica,Early Pleistocene,,2.58,0.774,281.614166,33.973331,Calabrian
748228,80034,Chione cancellata,Early Pleistocene,,2.58,0.774,281.614166,33.973331,Calabrian
748233,80034,Glycymeris americana,Early Pleistocene,,2.58,0.774,281.614166,33.973331,Calabrian
748239,80034,Ensis directus,Early Pleistocene,,2.58,0.774,281.614166,33.973331,Calabrian
748252,80038,Mulinia lateralis,Late Pliocene,,3.6,2.58,283.256111,37.148056,Pliocene
748268,80038,Anomia simplex,Late Pliocene,,3.6,2.58,283.256111,37.148056,Pliocene
748276,80038,Crassostrea virginica,Late Pliocene,,3.6,2.58,283.256111,37.148056,Pliocene
748281,80038,Plicatula gibbosa,Late Pliocene,,3.6,2.58,283.256111,37.148056,Pliocene
748292,80025,Anomia simplex,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
748306,80025,Mulinia lateralis,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
748322,80024,Crassostrea virginica,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
748324,80024,Plicatula gibbosa,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
748325,80024,Anomia simplex,Early Pleistocene,,2.58,0.774,277.320831,27.770832,Calabrian
748360,80033,Anomia simplex,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
748379,80033,Abra aequalis,Early Pleistocene,,2.58,0.774,281.402779,34.168056,Calabrian
