Species,long,lat,Time
Abra_aequalis,279.95,26.59,Modern
Abra_aequalis,282.04,33.84,Modern
Abra_aequalis,277.89,26.44,Modern
Abra_aequalis,277.8,26.53,Modern
Abra_aequalis,262.5,25.9,Modern
Abra_aequalis,283.34,34.72,Modern
Abra_aequalis,277.8,26.53,Modern
Abra_aequalis,278.21,26.07,Modern
Arcinella_cornuta,281.383333,33.835556,Modern
Arcinella_cornuta,277.983333,26.45,Modern
Arcinella_cornuta,277.183333,27.966667,Modern
Arcinella_cornuta,264.45,18.488188,Modern
Arcinella_cornuta,278.2511,25.9913,Modern
Arcinella_cornuta,277.9853,26.4535,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,277.90295,26.46037,Modern
Arcinella_cornuta,279.26333,39.33,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,279.04293,24.77083,Modern
Arcinella_cornuta,278.27102,25.9726,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,277.45851,27.25554,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,280.50827,33.00128,Modern
Arcinella_cornuta,262.88634,26.0751,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,277.45851,27.25554,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,277.3675,27.39057,Modern
Arcinella_cornuta,278.5706,30.61123,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,279.79033,25.81408,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.31838,25.84136,Modern
Arcinella_cornuta,278.31838,25.84136,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,278.26064,25.93102,Modern
Arcinella_cornuta,277.26145,27.68832,Modern
Arcinella_cornuta,277.08,24.63,Modern
Arcinella_cornuta,277.8989,26.7669,Modern
Arcinella_cornuta,278.23,24.58,Modern
Arcinella_cornuta,277.9,26.45,Modern
Arcinella_cornuta,277.90969,26.42287,Modern
Arcinella_cornuta,277.8556,26.4471,Modern
Arcinella_cornuta,277.9853,26.4535,Modern
Arcinella_cornuta,279.96827,26.78771,Modern
Arcinella_cornuta,283.4944,34.7873,Modern
Arcinella_cornuta,280,26.7056,Modern
Arcinella_cornuta,277.3597,27.3856,Modern
Arcinella_cornuta,278.2707,25.9099,Modern
Arcinella_cornuta,277.8974,26.4266,Modern
Arcinella_cornuta,277.8974,26.4266,Modern
Arcinella_cornuta,279.9952,26.7176,Modern
Arcinella_cornuta,264.316667,18.016667,Modern
Arcinella_cornuta,265.89833,30.08583,Modern
Arcinella_cornuta,277.47023,27.32273,Modern
Arcinella_cornuta,279.95674,26.54542,Modern
Arcinella_cornuta,277.26331,27.69763,Modern
Arcinella_cornuta,275.01667,29.72556,Modern
Arcinella_cornuta,277.30295,27.599983,Modern
Arcinella_cornuta,277.1471,24.6476,Modern
Arcinella_cornuta,277.90969,26.42287,Modern
Arcinella_cornuta,279.95369,26.77365,Modern
Arcinella_cornuta,279.9154,26.52813,Modern
Arcinella_cornuta,280.0046,26.7005,Modern
Arcinella_cornuta,279.6019,25.1115,Modern
Arcinella_cornuta,277.8079,26.5147,Modern
Arcinella_cornuta,277.8974,26.4266,Modern
Arcinella_cornuta,277.8974,26.4266,Modern
Arcinella_cornuta,269.100648,19.177543,Modern
Arcinella_cornuta,279.9869,26.6754,Modern
Arcinella_cornuta,283.4944,34.7873,Modern
Arcinella_cornuta,260.716667,24.495725,Modern
Arcinella_cornuta,278.2511,25.9913,Modern
Arcinella_cornuta,279.9126,26.2392,Modern
Arcinella_cornuta,277.1714,27.99712,Modern
Arcinella_cornuta,277.3597,27.3856,Modern
Arcinella_cornuta,278.27,25.97,Modern
Arcinella_cornuta,278.2,26.14,Modern
Arcinella_cornuta,274.34,30.16,Modern
Arcinella_cornuta,278.2,26.09,Modern
Arcinella_cornuta,277.71,26.83,Modern
Arcinella_cornuta,274.66,29.8,Modern
Arcinella_cornuta,273.5,30.39,Modern
Arcinella_cornuta,274.35,30.1,Modern
